No.,Market,Current Segment,Segment on First Quotation,Company,ISIN,Symbol,Country,Type,Supersector,Sector,Subsector,Prospectus,First Trading Day,Underwriter,Issuing Method,Bookbuilding Range,Subscription Price,First Price,Placement Volume incl. GS in euro,Placement Volume of executed GS in euro,Placement Volume (Shares),Placement Volume (Shares) of New Shares,Placement Volume (Shares) of Existing Shares,Greenshoe in Shares,Greenshoe in Executed Shares,Capital Stock / Shares on 1st Quotation,Total Market Cap on 1st Quotation in euro,Market Cap (Free Float) on 1st Quotation in euro
439,Open Market,Delisted,First Quotation Board,Quash Products PLC,GB00B743N599,QPS,United Kingdom,PP,,,,no,5/10/2010,,,,,0.81,"101,188.00",,"740,741","740,741",,,,"12,819,594","10,383,871.00",
440,Open Market,Delisted,First Quotation Board,EHouse Global PLC,GB00B5KYT548,<2E8>,United Kingdom,LI,,,,no,29/09/2010,,,,,0.8,,,,,,,,"12,022,000","9,617,600.00",
441,Open Market,Delisted,First Quotation Board,Quantitative Alpha Trading Inc.,CA74762L1067,8RT,Canada,LI,,,,no,29/09/2010,,,,,,,,,,,,,"124,416,860",,
442,Open Market,Delisted,First Quotation Board,Jatet Petro Technology PLC,GB00B5L2J790,0BK,United Kingdom,LI,,,,no,29/09/2010,,,,,0.51,,,,,,,,"25,000,000","12,750,000.00",
443,Open Market,Delisted,First Quotation Board,Advanced Envirotec Corp.,CA00769L1040,NHC,Canada,LI,,,,no,27/09/2010,,,,,1.7,,,,,,,,"3,500,000","5,950,000.00",
444,Open Market,Delisted,First Quotation Board,Capitol W.B.C. PLC,GB00B63XD200,8WB    ,United Kingdom,LI,,,,no,27/09/2010,,,,,6,,,,,,,,"5,000,000","30,000,000.00",
445,Open Market,Delisted,First Quotation Board,Aurum Mining Resources PLC,GB00B45H0921,66A,United Kingdom,LI,,,,no,23/09/2010,,,,,4,,,,,,,,"5,000,000","20,000,000.00",
446,Open Market,Delisted,First Quotation Board,Aphex BioCleanse Systems Corp.,VGG047381030,8A9,Canada,LI,,,,no,21/09/2010,,,,,,,,,,,,,"4,625,000",,
447,Open Market,Delisted,First Quotation Board,Kennedy Capital Corp.,CA74639T1003,5PU,Canada,LI,,,,no,21/09/2010,,,,,1.25,,,,,,,,"5,220,000","6,525,000.00",
448,Open Market,Delisted,First Quotation Board,Aurora Gold Corp.,US0516421064,A4G,United States,PP,,,,no,17/09/2010,,,,,0.28,"4,574,522.00",,"17,983,335","17,983,335",,,,"86,391,857","24,189,720.00",
449,Open Market,Delisted,First Quotation Board,Recyc Commodities SE,DE000A1C4245,PCV,Germany,LI,,,,no,15/09/2010,,,,,3,,,,,,,,"300,000","900,000.00",
450,Open Market,Delisted,First Quotation Board,Amun Edelmetall Handelskontor AG,AT0000A0HAP3,IAM,Austria,PP,,,,no,10/9/2010,,,,,11,"205,000.00",,"181,250","181,250",,,,"370,000","4,070,000.00",
451,Open Market,Delisted,First Quotation Board,Webinstore AG,DE000A1DAK30,WBO,Germany,PP,,,,no,9/9/2010,,,,,4.1,"450,000.00",,"450,000","450,000",,,,"500,000","2,050,000.00",
452,Open Market,Delisted,First Quotation Board,JSM Wireless UK PLC,GB00B50MZZ07,9JW,United Kingdom,LI,,,,no,8/9/2010,,,,,12.2,,,,,,,,"252,272","3,077,718.00",
453,Open Market,Delisted,First Quotation Board,Global Crown Solar Power Co.Ltd.,CA37950T1084,GPC,Canada,LI,,,,no,7/9/2010,,,,,2,,,,,,,,"2,591,800","5,183,600.00",
454,Open Market,Delisted,Entry Standard,UNIVERMA AG,DE000A0V9MF4,UX6,Germany,PP,,,,yes,2/9/2010,,,,,60,"600,000.00",,"680,000","600,000","80,000",,,"730,000","43,800,000.00",
455,Open Market,Delisted,First Quotation Board,Evergreen Bamboo International Ltd.,GB00B67BHD90,LBT,United Kingdom,LI,,,,no,31/08/2010,,,,,,,,,,,,,"25,000,000",,
456,Open Market,Delisted,First Quotation Board,Potrimpos Capital SE,DE000A1C3973,POE,Germany,LI,,,,no,31/08/2010,,,,,,,,,,,,,"300,000",,
457,Open Market,Basic Board,First Quotation Board,PA Power Automation AG,DE0006924400,PPA,Germany,LI,,Technology,Electronic Components & Hardware,no,26/08/2010,,,,,2.5,,,,,,,,"2,777,105","6,942,762.50",
458,Open Market,Delisted,First Quotation Board,ICZ Holding N.V.,NL0009312032,7ZI,Netherlands,LI,,,,no,18/08/2010,,,,,13,,,,,,,,"2,680,036","34,840,468.00",
459,Open Market,Delisted,First Quotation Board,Southeast Asia Renewable Power Company Ltd.,CA84131R2054,SRL,Canada,LI,,,,no,18/08/2010,,,,,1.1,,,,,,,,"318,000","349,800.00",
460,Open Market,Delisted,First Quotation Board,COMplus Technologies SE,DE000A1C3DF8,PCA,Germany,LI,,,,no,13/08/2010,,,,,3.64,,,,,,,,"300,000","1,092,000.00",
461,Open Market,Delisted,First Quotation Board,Global Aviation Syndicate Ltd.,GB00B5TKY142,ZGA,United Kingdom,LI,,,,no,12/8/2010,,,,,0.81,,,,,,,,"250,000","202,500.00",
462,Open Market,Delisted,First Quotation Board,Madison Property AG,DE000A0V9KR3,MPD,Germany,LI,,Financial Services,Real Estate,yes,12/8/2010,,,,,26.6,,,,,,,,"3,500,000","93,100,000.00",
463,Open Market,Delisted,First Quotation Board,AUTEV AG,DE0007562068,LDP,Germany,LI,,,,no,10/8/2010,,,,,26,,,,,,,,"570,000","14,820,000.00",
464,Open Market,Delisted,First Quotation Board,Alumifuel Power International Inc.,CA02220Q1028,9AP,Canada,PP,,,,no,9/8/2010,,,,,0.5,"83,475.00",,"25,879,000","25,879,000",,,,"44,969,000","22,484,500.00",
465,Open Market,Delisted,Entry Standard,KINGHERO AG,DE000A0XFMW8,KH6,China,NI,,Consumer,Clothing & Footwear,yes,6/8/2010,"Joint Lead Managers: BankM - Repräsentanz der biw Bank für Investments und Wertpapiere AG, Silvia Quandt & Cie. AG",Bookbuilding Procedure,14.50 - 18.50,15,15,"15,000,000.00","1,875,000.00","1,000,000","875,000","125,000","125,000","125,000","6,125,000","91,875,000.00",
466,Open Market,Delisted,First Quotation Board,Terra Resources PLC,GB00B4YP8G08,T31,United Kingdom,PP,,,,no,5/8/2010,,,,,2.25,"300,000.00",,"2,225,000","2,225,000",,,,"2,225,600","5,007,600.00",
467,Open Market,Delisted,First Quotation Board,Aquila Vision PLC,GB00B5LL4J36,CMP,United Kingdom,PP,,,,no,5/8/2010,,,,,0.75,"250,000.00",,"17,500,000","17,500,000",,,,"17,500,000","13,125,000.00",
468,Open Market,Delisted,First Quotation Board,ROK Global PLC,GB00B4W19G74,T3K,United Kingdom,PP,,,,no,5/8/2010,,,,,0.53,"300,000.00",,"2,250,000","2,250,000",,,,"2,250,000","1,192,500.00",
469,Open Market,Delisted,First Quotation Board,Qeteras Ltd.,GB00B64S9L52,6GJ,United Kingdom,LI,,,,no,28/07/2010,,,,,,,,,,,,,"208,835",,
470,Open Market,Delisted,First Quotation Board,China Zongbao Clean Tech Ltd.,GB00B3YGKN73,ZEC,China,LI,,,,no,28/07/2010,,,,,1.05,,,,,,,,"36,450,000","38,272,500.00",
471,Open Market,Delisted,First Quotation Board,Pure Biogas Solutions PLC,GB00B3W0RM97,CPB,United Kingdom,LI,,,,no,26/07/2010,,,,,1,,,,,,,,"25,000,234","25,000,234.00",
472,Open Market,Delisted,First Quotation Board,Produced Water Solutions PLC,GB00B3WHHL97,91F,United Kingdom,LI,,,,no,16/07/2010,,,,,1.5,,,,,,,,"25,000,000","37,500,000.00",
473,Open Market,Delisted,First Quotation Board,German Brands PLC,GB00B3TN2938,M8X,United Kingdom,LI,,,,no,15/07/2010,,,,,,,,,,,,,"25,000,117","25,000.00",
474,Regulated Market,Prime Standard,Prime Standard,Ströer SE & Co. KGaA,DE0007493991,SAX,Germany,NI,,Media,Advertising,yes,15/07/2010,"Joint Global Coordinators & Joint Bookrunners:<br>  J.P. Morgan; Morgan Stanley<br><br>  Co-Lead Managers:<br>  COMMERZBANK; Credit Agricole CIB, WestLB AG (Lead Manager: J.P. Morgan; Morgan Stanley )",Bookbuilding Procedure,17.00 - 24.00,20,20.6,"370,924,760.00","12,800,000.00","18,546,238","14,390,000","4,156,238","1,790,624","640,000","42,098,238","867,223,703.00","376,721,977.00"
475,Regulated Market,Delisted,"First Quotation Board, after this Entry Standard",S.A.G. Solarstrom Aktiengesellschaft,DE0007021008,SAG,Germany,TR,,Industrial,Renewable Energies,yes,9/7/2010,,,,,,,,,,,,,"12,278,641",,
476,Open Market,Basic Board,Entry Standard,Tonkens Agrar AG,DE000A1EMHE0,4TA,Germany,NI,,Food & Beverages,Food,yes,7/7/2010,biw Bank für Investments und Wertpapiere AG,Fixed Price Procedure,,23.75,24,"5,510,000.00",,"232,000","232,000",,,,"1,432,000","34,368,000.00",
477,Open Market,Delisted,First Quotation Board,Cheung Wing Biotechnology Company Ltd.,GB00B62N8P96,53W,China,LI,,,,no,7/7/2010,,,,,0.01,,,,,,,,"10,000,000","130,000.00",
478,Open Market,Delisted,First Quotation Board,Firmitas Capital Inc.,CA3183361045,1FC,Canada,PP,,,,no,6/7/2010,,,,,3.08,"294,742.00",,,"1,000,000",,,,"1,000,000","3,080,000.00",
479,Open Market,Delisted,First Quotation Board,MOWJOW PLC,GB00B3BRH657,O59,United Kingdom,LI,,,,no,1/7/2010,,,,,0.99,,,,,,,,"24,015,000","23,774,850.00",
480,Open Market,Delisted,First Quotation Board,Viridis Technologies Inc.,CA92823X1096,VRY,Canada,LI,,,,no,29/06/2010,,,,,1.25,,,,,,,,"16,607,000","20,758,750.00",
481,Open Market,Delisted,First Quotation Board,MCW Energy Group Ltd.,CA55278G1037,MW4,United States,LI,,,,no,29/06/2010,,,,,0.55,,,,,,,,"125,000,000","68,750,000.00",
482,Open Market,Delisted,First Quotation Board,Seesmart Holdings Inc.,CA8157841039,APF,Canada,PP,,,,no,28/06/2010,,,,,2,"410,448.00",,"605,000","605,000",,,,"605,000","820,896.00",
483,Open Market,Delisted,First Quotation Board,HessGen Canada Inc.,CA4281221057,0HG,Canada,LI,,,,no,25/06/2010,,,,,2,,,,,,,,"60,000,000","120,000,000.00",
484,Open Market,Delisted,First Quotation Board,iVegas Gaming Ltd.,CA46583B1031,IVL,Canada,LI,,,,no,22/06/2010,,,,,0.89,,,,,,,,"400,000","356,000.00",
485,Open Market,Delisted,First Quotation Board,Standard Gold Mines PLC,GB00B3WVJ933,H5L,United Kingdom,LI,,,,no,11/6/2010,,,,,1.45,,,,,,,,"43,254,200","62,718,590.00",
486,Open Market,Delisted,First Quotation Board,BRAC SYSTEMS INC.,CA10374R2063,BAAC,Canada,LI,,,,no,9/6/2010,,,,,0.36,,,,,,,,"30,000,000","10,800,000.00",
487,Open Market,Delisted,First Quotation Board,Big Rock Resources Inc.,CA0894852056,1BRA,Canada,LI,,,,no,8/6/2010,,,,,1,,,,,,,,"1,133,333","1,133,333.00",
488,Open Market,Delisted,First Quotation Board,TrafAir Capital AG,CH0100797254,02T,Switzerland,LI,,,,no,8/6/2010,,,,,25,,,,,,,,"1,000,000","25,000,000.00",
489,Open Market,Delisted,First Quotation Board,Dynamic Systems Holdings Inc.,CA2680111036,DYOA,Canada,LI,,,,no,7/6/2010,,,,,3.5,,,,,,,,"8,056,667","28,198,335.00",
490,Open Market,Delisted,First Quotation Board,Chelsea Management Partners PLC,GB00B6074116,CPJ,United Kingdom,LI,,,,no,3/6/2010,,,,,0.7,,,,,,,,"25,000,000","17,500,000.00",
491,Open Market,Delisted,First Quotation Board,Terra Sun Ltd.,GB00B3Y4VF01,PZ0,United Kingdom,LI,,,,no,2/6/2010,,,,,,,,,,,,,"25,000,000",,
492,Open Market,Delisted,First Quotation Board,Apollo Bell International Plc,GB00B5ZNXC12,AVC5,United Kingdom,LI,,,,no,31/05/2010,,,,,2.75,,,,,,,,"25,000,000","68,750,000.00",
493,Open Market,Delisted,First Quotation Board,Viridax Corp.,CA92823Y1079,5DG,Canada,LI,,,,no,28/05/2010,,,,,1,,,,,,,,"350,100","350,100.00",
494,Open Market,Delisted,First Quotation Board,HQ LIFE AG,DE000A0B9YJ5,28L,Germany,LI,,,,no,28/05/2010,,,,,1,,,,,,,,"400,000","400,000.00",
495,Open Market,Delisted,First Quotation Board,PS Vermögensverwaltung AG,DE000A0CAYL1,7PV,Germany,LI,,,,no,28/05/2010,,,,,1,,,,,,,,"400,000","400,000.00",
496,Open Market,Delisted,First Quotation Board,Deutsche Biotech Innovativ AG,DE000A0Z25L1,VUA,Germany,NI,,,,yes,27/05/2010,,,,,7.55,,,"250,000",,"250,000",,,"250,000","1,887,500.00",
497,Open Market,Scale,Entry Standard,Deutsche Rohstoff AG,DE000A0XYG76,DR0,Germany,PP,,Basic Resources,Mining,no,27/05/2010,,,,,10.35,"4,359,134.00",,"443,584","443,584",,,,"4,032,620","41,737,617.00",
498,Open Market,Delisted,Entry Standard,Euro Asia Premier Real Estate Company Limited,VGG3223A1057,JT9,Virgin Islands,NI,,Financial Services,Real Estate,yes,26/05/2010,"Sole Global Coordinator, Sole Bookrunner and Lead Manager:<br>  mwb fairtrade Wertpapierhandelsbank AG  <br><br>  Selling Agents:<br>  DAB bank AG, S Broker AG & Co. KG  ",Bookbuilding Procedure,5.00 - 6.00,5,5.5,"5,000,000.00",,"1,000,000","1,000,000",,"200,000",,"11,000,000","60,500,000.00",
499,Open Market,Delisted,First Quotation Board,TOPMAC HOLDINGS PLC,GB00B3TYTK64,LP7,United Kingdom,LI,,,,no,20/05/2010,,,,,1.68,,,,,,,,"25,000,000","42,000,000.00",
500,Open Market,Delisted,First Quotation Board,Grid Content Group AG,DE000A0XXUL7,GCJ,Germany,PP,,,,no,20/05/2010,,,,,3.15,"250,000.00",,"250,000","250,000",,,,"3,330,862","10,492,215.00",
501,Open Market,Delisted,First Quotation Board,International Solar Systems PLC,GB00B51QYG55,LIA,United Kingdom,LI,,,,no,20/05/2010,,,,,0.55,,,,,,,,"1,500,000","825,000.00",
502,Open Market,Delisted,First Quotation Board,Speciality Union Products PLC,GB00B4VKGR55,YSU,United Kingdom,LI,,,,no,20/05/2010,,,,,1,,,,,,,,"1,500,000","1,500,000.00",
503,Open Market,Delisted,First Quotation Board,Grünergy Technologies PLC,GB00B59J0S04,GN1,United Kingdom,PP,,,,no,12/5/2010,,,,,0.5,"250,000.00",,"2,255,200","2,255,200",,,,"2,255,200","1,127,600.00",
504,Open Market,Delisted,First Quotation Board,PCG President Corporate Group Ltd. ,CY0102842115,PI6,Canada,LI,,,,no,12/5/2010,,,,,1.25,,,,,,,,"719,000","898,750.00",
505,Open Market,Delisted,First Quotation Board,North Thunder Bay Mining Co. Ltd.,CA66285Y2015,84N,Canada,LI,,,,no,11/5/2010,,,,,0.9,,,,,,,,"450,000","405,000.00",
506,Open Market,Delisted,First Quotation Board,Apollo Capital Group Inc.,US03763Q1031,7A8,United States,LI,,,,no,10/5/2010,,,,,0.8,,,,,,,,"16,644,659","13,315,727.00",
507,Open Market,Delisted,First Quotation Board,Visisys Holdings PLC,GB00B3TPDY18,V46,United Kingdom,LI,,,,no,7/5/2010,,,,,0.45,,,,,,,,"50,000,000","22,500,000.00",
508,Open Market,Delisted,First Quotation Board,Prairie West Oil & Gas Ltd,CA73971R1029,1WP,Canada,LI,,,,no,5/5/2010,,,,,0.7,,,,,,,,"15,785,595","11,049,917.00",
509,Open Market,Delisted,First Quotation Board,Devonhill Technology Partners PLC,GB00B6194617,DCN,United Kingdom,LI,,,,no,5/5/2010,,,,,0.45,,,,,,,,"84,300,000","37,935,000.00",
510,Open Market,Delisted,First Quotation Board,Greencell Technologies Inc.,CA39417Q1072,GT5,Canada,PP,,,,no,4/5/2010,,,,,0.7,"435,000.00",,"610,000","610,000",,,,"15,700,000","10,990,000.00",
511,Open Market,Delisted,First Quotation Board,Snuko PLC,GB00B61F4148,898,United Kingdom,PP,,,,no,4/5/2010,,,,,1.28,"312,500.00",,"31,250,000","31,250,000",,,,"31,250,000","40,000,000.00",
512,Open Market,Delisted,First Quotation Board,Fashion TV Holding Ltd.,VGG3335A1003,TV8,Virgin Islands,LI,,,,no,30/04/2010,,,,,23,,,,,,,,"5,257,260","120,916,980.00",
513,Open Market,Delisted,First Quotation Board,Globalm-Group PLC,GB00B603H761,K3T,United Kingdom,LI,,,,no,30/04/2010,,,,,1.05,,,,,,,,"30,000,000","31,500,000.00",
514,Open Market,Delisted,First Quotation Board,Texcan Capital Inc.,VGG8764A1176,QTC,Canada,LI,,,,no,28/04/2010,,,,,0.25,,,,,,,,"19,175,243","4,793,750.00",
515,Open Market,Delisted,First Quotation Board,Cobram Oil PLC,GB00B5NDT256,C8L,United Kingdom,LI,,,,no,22/04/2010,,,,,1.8,,,,,,,,"5,000,000","9,000,000.00",
516,Open Market,Delisted,First Quotation Board,Sapphire Capital PLC,GB00B634DH83,SH2,United Kingdom,LI,,,,no,20/04/2010,,,,,1.52,,,,,,,,"25,000,000","38,000,000.00",
517,Open Market,Delisted,First Quotation Board,Resos Pharma PLC,GB00B56N9664,6R0,United Kingdom,LI,,,,no,12/4/2010,,,,,1.49,,,,,,,,"2,255,200","3,360,248.00",
518,Open Market,Delisted,First Quotation Board,Blackwood Global Resources PLC,GB00B59JBF47,7BO,United Kingdom,LI,,,,no,12/4/2010,,,,,1.49,,,,,,,,"2,255,200","3,360,248.00",
519,Open Market,Delisted,First Quotation Board,Kampac International PLC,GB00B5BPSV53,A55,United Kingdom,LI,,,,no,12/4/2010,,,,,2.5,,,,,,,,"1,000,000,000","2,500,000,000.00",
520,Open Market,Delisted,First Quotation Board,Greenvironment PLC,GB00B5754J93,GIV,United Kingdom,LI,,,,no,9/4/2010,,,,,0.6,,,,,,,,"7,295,500","4,377,300.00",
521,Open Market,Delisted,First Quotation Board,High Win PLC Inc.,VGG4570A1021,5HI,China,LI,,,,no,8/4/2010,,,,,0.2,,,,,,,,"10,000,031","2,000,000.00",
522,Open Market,Delisted,First Quotation Board,Telecorp Inc.,CA8792961010,3TL,Canada,LI,,,,no,7/4/2010,,,,,0.75,,,,,,,,"20,000,000","15,000,000.00",
523,Open Market,Delisted,First Quotation Board,West African Gold Resources Mining Inc.,CA9511081098,4WK,Canada,LI,,,,no,6/4/2010,,,,,4.5,,,,,,,,"5,250,000","23,625,000.00",
524,Regulated Market,General Standard,,KHD Humboldt Wedag International AG,DE0006578008,KWG,Germany,TR,,Construction,Building Materials,yes,31/03/2010,,,,,,,,,,,,,"33,142,552",,
525,Regulated Market,Delisted,Prime Standard,Joyou AG,DE000A0WMLD8,JY8,China,NI,Consumer Goods,Consumer,Home Construction & Furnishings,yes,30/03/2010,"Joint Global Coordinators, Joint Bookrunners & Joint Lead Managers:<br>  Macquarie Capital (Europe Limited), China International Capital Corporation Hong Kong Securities Limited  <br><br>  Co-Lead Managers:<br>  WestLB AG, DZ Bank AG Deutsche Zentral-Genossenschaftsbank  <br><br>  Selling Agents:<br>  comdirect bank AG, DAB bank AG (Lead Manager: Macquarie Capital (Europe Limited), China International Capital Corporation Hong Kong Securities Limited)",Bookbuilding Procedure,12.50 - 17.00,13,14.75,"104,650,000.00","13,650,000.00","8,050,000","7,000,000","1,050,000","1,050,000","1,050,000","23,967,492","353,520,507.00","118,747,538.00"
526,Open Market,Delisted,First Quotation Board,Lambda TD Software Inc.,US51327T1051,XLS,United States,PP,,,,no,30/03/2010,,,,,0.53,"8,000.00",,"12,000","12,000",,,,"35,000,000","18,550,000.00",
527,Regulated Market,Prime Standard,Prime Standard,Brenntag AG,DE000A1DAHH0,BNR,Germany,NI,Industrials,Industrial,Industrial Products & Services,yes,29/03/2010,"Joint Global Coordinators:<br>  Deutsche Bank, Goldman Sachs International<br><br>  Joint Bookrunners:<br>  BofA Merrill Lynch, Deutsche Bank, Goldman Sachs International J.P. Morgan<br><br>  Co-Lead Managers:<br>  COMMERZBANK, HSBC Trinkaus, SOCIÉTÉ GÉNÉRALE Corporate & Investment Banking, The Royal Bank of Scotland   (Lead Manager: Deutsche Bank, Goldman Sachs International)",Bookbuilding Procedure,46.00 - 56.00,50,51.1,"747,500,000.00","97,500,000.00","14,950,000","10,500,000","4,450,000","1,950,000","1,950,000","51,500,000","2,631,650,000.00","763,967,995.00"
528,Regulated Market,General Standard,Prime Standard,TOM TAILOR Holding SE,DE000A0STST2,TTI,Germany,NI,Consumer Goods,Consumer,Clothing & Footwear,yes,26/03/2010,"Joint Global Coordinators & Bookrunners:<br>  Commerzbank AG, J.P. Morgan Securities Ltd. (Lead Manager: Commerzbank AG, J.P. Morgan Securities Ltd.)",Decoupled Bookbuilding,11.00 - 15.00,13,13,"149,114,628.00","6,114,628.00","11,470,356","11,000,000","470,356","1,650,000","470,356","16,528,169","214,866,197.00","149,114,628.00"
529,Open Market,Delisted,First Quotation Board,Dub Oil PLC,GB00B5NKD800,D65,United Kingdom,LI,,,,no,26/03/2010,,,,,2.5,,,,,,,,"5,000,000","12,500,000.00",
530,Open Market,Delisted,First Quotation Board,PARKERMEDIA AG,DE000A0BMPU7,6PM,Germany,LI,,,,no,23/03/2010,,,,,1.05,,,,,,,,"8,323,296","8,739,460.80",
531,Regulated Market,Delisted,Prime Standard,Kabel Deutschland Holding AG,DE000KD88880,KD8,Germany,NI,Consumer Services,Media,Broadcasting,yes,22/03/2010,"Joint Global Coordinators & Joint Bookrunners:<br>  Deutsche Bank, Morgan Stanley<br><br>  Joint Bookrunners:<br>  J.P. Morgan, UBS Investment Bank<br><br>  Co-Lead Managers:<br>  BNP Paribas, SOCIETE GENERALE Corporate & Investment Banking, The Royal Bank of Scotland (Lead Manager: Deutsche Bank, Morgan Stanley)",Bookbuilding Procedure,21.50 - 25.50,22,22.5,"759,000,000.00","99,000,000.00","34,500,000",,"34,500,000","4,500,000","4,500,000","90,000,000","2,025,000,000.00","776,182,500.00"
532,Open Market,Delisted,First Quotation Board,Rebootizer Group PLC,GB00B6194J40,R3T,United Kingdom,LI,,,,no,18/03/2010,,,,,0.94,,,,,,,,"150,000,001","141,000,001.00",
533,Open Market,Delisted,First Quotation Board,Greenwave Bio Ltd.,GB00B688NW04,3G0,United Kingdom,LI,,,,no,12/3/2010,,,,,2,,,,,,,,"20,500,000","41,000,000.00",
534,Open Market,Delisted,First Quotation Board,Idea Fabrik PLC,GB00B61CVK31,TI4,United Kingdom,LI,,,,no,12/3/2010,,,,,2.6,,,,,,,,"40,000,000","104,000,000.00",
535,Open Market,Delisted,First Quotation Board,Gaiacor International PLC,GB00B5545X99,VCG,United Kingdom,LI,,,,no,11/3/2010,,,,,1.2,,,,,,,,"16,419,405","19,703,286.00",
536,Open Market,Delisted,First Quotation Board,Ridgeback Global Resources PLC,GB00B608XL77,RDM,United Kingdom,PP,,,,no,10/3/2010,,,,,0.01,"958,515.00",,"85,925","85,925",,,,"485,925,000","6,317,025.00",
537,Open Market,Delisted,First Quotation Board,Alta Aerial PLC,GB00B5NT0N17,V8A,United Kingdom,LI,,,,no,9/3/2010,,,,,3.1,,,,,,,,"20,000,000","62,000,000.00",
538,Open Market,Delisted,First Quotation Board,Bolser PLC,GB00B6X17669,UKG,United Kingdom,LI,,,,no,8/3/2010,,,,,1,,,,,,,,"1,033,000","1,033,000.00",
539,Open Market,Delisted,First Quotation Board,Hitech Stages Ltd.,GB00B3P47V71,JT2,United Kingdom,LI,,,,no,25/02/2010,,,,,1.8,,,,,,,,"4,950,000","8,910,000.00",
540,Regulated Market,Delisted,,eValue Ventures AG,DE000A0E96N3,XAC2,Germany,DL,,Media,Advertising,yes,23/02/2010,,,,,,,,,,,,,"1,517,397",,
541,Open Market,Delisted,First Quotation Board,PEGG Capital AG,DE000A0YCBX4,PGU,Germany,PP,,,,no,18/02/2010,,,,,1.71,"17,750,000.00",,"17,750,000","17,750,000",,,,"18,000,000","30,780,000.00",
542,Open Market,Delisted,Entry Standard,Travel Viva AG,DE000A0HNGF2,TV0,Germany,NI,,Retail,"Retail, Internet",yes,11/2/2010,,,,,5.5,,,"1,000,000",,"1,000,000",,,"1,000,000","5,500,000.00",
543,Open Market,Delisted,First Quotation Board,Advance Media Group Inc.,CA0074631023,A2D,Canada,PP,,,,no,5/2/2010,,,,,0.8,"3,570,525.00",,"5,625,000","5,625,000",,,,"14,500,000","11,600,000.00",
544,Regulated Market,Prime Standard,Prime Standard,exceet Group SCA,LU0472835155,HIT,Grand Duchy of Luxembourg,NI,Information Technology,Technology,Electronic Components & Hardware,yes,4/2/2010,"Sole Bookrunner and Manager:<br>  Deutsche Bank AG<br><br>  Co-Bookrunner:<br>  HSBC Trinkaus & Burkhardt AG<br><br>  Co-Manager:<br>  I-Bankers Securities, Inc.<br><br>  Selling Agent:<br>  Montana Partners GmbH (Lead Manager: Deutsche Bank AG)",Fixed Price Procedure,,10,9.5,"200,000,000.00",,"20,000,000","20,000,000",,,,"26,315,790","250,000,000.00",
545,Open Market,Delisted,First Quotation Board,True Green Led PLC,GB00B5KWSD97,TGQ,United Kingdom,LI,,,,no,29/01/2010,,,,,2.51,,,,,,,,"20,000,000","50,200,000.00",
546,Open Market,Delisted,Entry Standard,GIEAG Immobilien AG,DE0005492276,2GI,Germany,PP,,Financial Services,Real Estate,no,28/01/2010,,,,,1.7,"290,000.00",,"200,000","200,000",,,,"2,300,000","3,910,000.00",
547,Open Market,Delisted,First Quotation Board,Global EcoPower S.A.,FR0010519082,GOP,France,LI,,,,no,21/01/2010,,,,,2.9,,,,,,,,"15,507,918","44,972,962.20",
548,Open Market,Delisted,First Quotation Board,GMI Global Medical Investors AG,DE000A1A6ZU5,GJT,Germany,PP,,,,no,13/01/2010,,,,,1.1,"12,184,000.00",,"12,184,000","12,184,000",,,,"12,434,000","13,402,400.00",
549,Open Market,Delisted,First Quotation Board,Tantalus Rare Earths AG,DE000A1MMFF4,TAE,Germany,PP,,,,no,11/1/2010,,,,,51,"2,196,148.40",,"57,069","57,069",,,,"2,057,069","104,910,519.00",
550,Open Market,Delisted,First Quotation Board,Rich AG,DE000A0Q9LA4,9RH,Germany,LI,,,,no,6/1/2010,,,,,1.11,,,,,,,,"50,700,000","56,277,000.00",
551,Open Market,Delisted,First Quotation Board,Eurotex Finanz Inc.,CA29881N1024,KFE,Canada,PP,,,,no,5/1/2010,,,,,1,"503,712.00",,"800,000","800,000",,,,"18,270,000","18,270,000.00",
552,Open Market,Delisted,First Quotation Board,Noninvasive Medical Technologies Ltd.,GB00B44VCN30,WXM,United Kingdom,LI,,,,no,23/12/2009,,,,,3.5,,,,,,,,"17,767,227","62,185,295.00",
553,Open Market,Basic Board,First Quotation Board,OTRS AG,DE000A0S9R37,TR9,Germany,PP,,Software,IT-Services,no,23/12/2009,,,,,5.5,"560,000.00",,"350,000","350,000",,,,"1,850,000","10,175,000.00",
554,Open Market,Delisted,First Quotation Board,Lotus Resources PLC,GB00B28ND832,L7O,United Kingdom,LI,,,,no,22/12/2009,,,,,0.6,,,,,,,,"64,245,100","38,547,060.00",
555,Open Market,Delisted,First Quotation Board,Universal Outdoor Group PLC,GB00BDFM4D22,TFGA,United Kingdom,PP,,Media,Advertising,no,17/12/2009,,,,,4.2,"236,666.00",,"282,173","282,173",,,,"2,932,382","12,316,004.40",
556,Open Market,Delisted,First Quotation Board,Dineout SA Ltd.,GB00B5990R97,DOGD,United Kingdom,LI,,,,no,4/12/2009,,,,,1.9,,,,,,,,"4,000,000","7,600,000.00",
557,Open Market,Delisted,First Quotation Board,CDG Packaging Holding AG,DE000A0XFVG2,8PP,Germany,PP,,,,no,3/12/2009,,,,,2.8,"25,000.00",,"25,000","25,000",,,,"250,000","700,000.00",
